ID,event_type,weight,DelEta_jj,DijetMass,LeadingJetPt
157,2,0.00162244,-999,-999,95.2281
158,-999,0.00190604,-999,-999,-999
159,-999,0.00182934,-999,-999,-999
160,-999,0.0021454,-999,-999,-999
161,0,0.00182338,-999,-999,-999
162,-999,0.0016225,-999,-999,-999
163,-999,0.00182645,-999,-999,-999
164,-999,0.00266732,-999,-999,-999
165,-999,0.00201242,-999,-999,-999
166,-999,0.00220626,-999,-999,-999
167,-999,0.00205307,-999,-999,-999
168,-999,0.00290029,-999,-999,-999
169,1,0.00265057,-999,-999,-999
170,-999,0.00177986,-999,-999,-999
171,-999,0.00178405,-999,-999,-999
172,3,0.00219376,-999,-999,-999
173,2,0.00180153,-999,-999,-999
174,-999,0.00199667,-999,-999,-999
175,2,0.00191468,-999,-999,-999
176,-999,0.0021514,-999,-999,-999
177,-999,0.00239379,-999,-999,-999
178,-999,0.00274591,-999,-999,-999
179,-999,0.00155293,-999,-999,-999
180,1,0.00210045,-999,-999,-999
181,3,0.00234221,-999,-999,-999
182,1,0.00294695,-999,-999,-999
183,3,0.00211154,-999,-999,37.4061
184,-999,0.00232271,-999,-999,-999
185,-999,0.00270465,-999,-999,-999
186,2,0.00198289,-999,-999,42.4026
187,3,0.0026025,1.90408,131.967,48.9183
188,-999,0.00210062,-999,-999,-999
189,-999,0.0038403,-999,-999,-999
190,0,0.0022694,-999,-999,41.2888
191,-999,0.00227015,-999,-999,-999
192,2,0.00155332,2.47662,523.298,154.31
193,2,0.00173241,-999,-999,51.189
194,-999,0.00239294,-999,-999,-999
195,-999,0.00196268,-999,-999,-999
196,-999,0.00215435,-999,-999,-999
197,2,0.00205263,-999,-999,36.819
198,-999,0.00190878,-999,-999,-999
199,-999,0.00151274,-999,-999,-999
200,-999,0.00196333,-999,-999,-999
201,-999,0.00182667,-999,-999,-999
202,-999,0.00144946,-999,-999,-999
203,-999,0.00292246,-999,-999,-999
204,-999,0.00273706,-999,-999,-999
205,-999,0.00160219,-999,-999,-999
206,-999,0.00166451,-999,-999,-999
207,1,0.00266815,-999,-999,-999
208,-999,0.00230959,-999,-999,-999
209,3,0.00286894,-999,-999,-999
210,2,0.00192938,-999,-999,-999
211,-999,0.00181834,-999,-999,-999
212,0,0.00224376,-999,-999,47.1187
213,-999,0.00159785,-999,-999,-999
214,1,0.00361114,-999,-999,-999
215,1,0.00163411,0.437118,34.8347,72.3834
216,-999,0.00153108,-999,-999,-999
217,3,0.00187781,-999,-999,-999
218,2,0.00179915,-999,-999,-999
219,-999,0.00225633,-999,-999,-999
220,-999,0.00218703,-999,-999,-999
221,0,0.00354169,-999,-999,-999
222,1,0.00163587,0.163486,92.1938,135.218
223,3,0.00151717,-999,-999,139.726
224,1,0.00344262,-999,-999,-999
225,-999,0.00179914,-999,-999,-999
226,-999,0.0016935,-999,-999,-999
227,-999,0.00268354,-999,-999,-999
228,-999,0.00244708,-999,-999,-999
229,-999,0.00212344,-999,-999,-999
230,-999,0.00218625,-999,-999,-999
231,-999,0.00289247,-999,-999,-999
232,1,0.0018432,-999,-999,79.1449
233,-999,0.00190646,-999,-999,-999
234,0,0.00197867,0.370404,99.1213,61.6899
235,-999,0.00225159,-999,-999,-999
236,1,0.00212157,-999,-999,62.8677
237,3,0.00157246,-999,-999,-999
238,-999,0.00254291,-999,-999,-999
239,-999,0.0016636,-999,-999,-999
240,-999,0.00176326,-999,-999,-999
241,-999,0.00343497,-999,-999,-999
242,-999,0.00158964,-999,-999,-999
243,3,0.00211815,-999,-999,-999
244,-999,0.00322066,-999,-999,-999
245,0,0.00223665,-999,-999,46.7326
246,-999,0.00167836,-999,-999,-999
247,3,0.00171877,-999,-999,57.6262
248,-999,0.00221814,-999,-999,-999
249,1,0.00269133,-999,-999,-999
250,2,0.00266807,-999,-999,-999
251,-999,0.00146751,-999,-999,-999
252,-999,0.00319507,-999,-999,-999
253,-999,0.0026096,-999,-999,-999
254,-999,0.00159527,-999,-999,-999
255,-999,0.00215247,-999,-999,-999
256,-999,0.00219244,-999,-999,-999
257,0,0.00215501,-999,-999,-999
258,3,0.00143076,-999,-999,149.63
259,-999,0.00258779,-999,-999,-999
260,-999,0.0018611,-999,-999,-999
261,2,0.00178354,0.793276,48.3587,50.92
262,3,0.00268738,-999,-999,-999
263,1,0.00243798,-999,-999,-999
264,-999,0.00223284,-999,-999,-999
265,1,0.00204027,0.728411,60.2103,63.3708
266,-999,0.00162622,-999,-999,-999
267,-999,0.00160622,-999,-999,-999
268,0,0.00236633,-999,-999,-999
269,2,0.00197294,-999,-999,-999
270,2,0.00213638,-999,-999,47.2407
271,-999,0.00191163,-999,-999,-999
272,3,0.00259931,-999,-999,-999
273,3,0.00199126,1.27772,56.3856,38.9373
274,-999,0.00139884,-999,-999,-999
275,-999,0.00229671,-999,-999,-999
276,-999,0.00186795,-999,-999,-999
277,-999,0.00152153,-999,-999,-999
278,3,0.00173862,-999,-999,72.7534
279,-999,0.0021309,-999,-999,-999
280,0,0.00239771,-999,-999,45.2342
281,-999,0.00160099,-999,-999,-999
282,-999,0.00214861,-999,-999,-999
283,2,0.00219916,-999,-999,-999
284,-999,0.00272751,-999,-999,-999
285,-999,0.00160596,-999,-999,-999
286,3,0.00295426,-999,-999,-999
287,-999,0.00260127,-999,-999,-999
288,2,0.00165926,3.56577,410.107,88.6335
289,-999,0.00274841,-999,-999,-999
290,1,0.00260063,-999,-999,-999
291,-999,0.00161623,-999,-999,-999
292,-999,0.00210237,-999,-999,-999
293,3,0.00211602,-999,-999,54.065
294,0,0.00316689,-999,-999,-999
295,-999,0.00163674,-999,-999,-999
296,-999,0.0027725,-999,-999,-999
297,-999,0.00176368,-999,-999,-999
298,-999,0.002233,-999,-999,-999
299,0,0.00363889,-999,-999,-999
300,2,0.00198932,-999,-999,-999
301,-999,0.00161646,-999,-999,-999
302,0,0.00302123,-999,-999,-999
303,0,0.00231852,-999,-999,-999
304,2,0.00180525,-999,-999,31.2503
305,2,0.0024569,-999,-999,-999
306,-999,0.00228409,-999,-999,-999
307,0,0.00190589,-999,-999,64.3379
308,0,0.00298404,-999,-999,-999
309,0,0.00240599,-999,-999,47.362
310,-999,0.00175173,-999,-999,-999
311,-999,0.00229837,-999,-999,-999
312,-999,0.002921,-999,-999,-999
313,-999,0.00362356,-999,-999,-999
314,-999,0.00231072,-999,-999,-999
315,0,0.00268083,-999,-999,-999
316,-999,0.00223136,-999,-999,-999
317,1,0.0020808,-999,-999,32.3919
