ID,event_type,weight,DelEta_jj,DijetMass,LeadingJetPt
90758,-999,0.000178546,-999,-999,-999
90759,2,0.000158319,-999,-999,215.393
90760,2,0.000164,3.28356,370.167,117.635
90761,-999,0.000159076,-999,-999,-999
90762,-999,0.000176463,-999,-999,-999
90763,-999,0.000177674,-999,-999,-999
90764,-999,0.000160163,-999,-999,-999
90765,2,0.000150996,5.89567,1022.53,55.2625
90766,-999,0.000177649,-999,-999,-999
90767,-999,0.000158525,-999,-999,-999
90768,0,0.000197356,2.76253,158.675,47.1646
90769,3,0.000158913,3.94667,432.769,108.887
90770,2,0.00015845,-999,-999,244.112
90771,-999,0.000176648,-999,-999,-999
90772,-999,0.000173724,-999,-999,-999
90773,-999,0.000177683,-999,-999,-999
90774,-999,0.000174705,-999,-999,-999
90775,2,0.000161328,-999,-999,49.6822
90776,1,0.000180357,5.44407,669.453,47.168
90777,-999,0.000174375,-999,-999,-999
90778,0,0.000193908,5.33943,1015.62,82.9096
90779,0,0.000176793,-999,-999,32.6969
90780,3,0.000158885,-999,-999,43.6881
90781,-999,0.000156979,-999,-999,-999
90782,-999,0.000158195,-999,-999,-999
90783,-999,0.000159101,-999,-999,-999
90784,-999,0.000161122,-999,-999,-999
90785,-999,0.000156736,-999,-999,-999
90786,0,0.000159025,-999,-999,50.777
90787,3,0.000160255,-999,-999,36.6369
90788,-999,0.000156303,-999,-999,-999
90789,-999,0.000175965,-999,-999,-999
90790,-999,0.000158382,-999,-999,-999
90791,-999,0.000176481,-999,-999,-999
90792,-999,0.000154451,-999,-999,-999
90793,0,0.000173181,4.69741,469.152,51.302
90794,-999,0.000171509,-999,-999,-999
90795,3,0.000166967,4.6127,528.058,84.0549
90796,0,0.000174447,6.39994,1336.64,57.1104
90797,0,0.000171939,5.87278,1387.19,115.988
90798,2,0.000161594,-999,-999,32.7347
90799,-999,0.000173209,-999,-999,-999
90800,-999,0.000160415,-999,-999,-999
90801,0,0.000192349,4.9111,781.701,105.48
90802,3,0.000157397,4.5528,469.144,64.2208
90803,3,0.000154737,3.50225,533.081,120.18
90804,-999,0.000159932,-999,-999,-999
90805,-999,0.000179326,-999,-999,-999
90806,-999,0.000162014,-999,-999,-999
90807,-999,0.000160231,-999,-999,-999
90808,-999,0.000159872,-999,-999,-999
90809,-999,0.000178742,-999,-999,-999
90810,3,0.000164268,4.00221,293.012,43.4763
90811,1,0.000181865,-999,-999,52.5791
90812,-999,0.000174152,-999,-999,-999
90813,-999,0.000155491,-999,-999,-999
90814,-999,0.00018272,-999,-999,-999
90815,1,0.000172471,-999,-999,-999
90816,-999,0.000151947,-999,-999,-999
90817,1,0.00017238,4.34842,629.437,135.743
90818,-999,0.000176272,-999,-999,-999
90819,2,0.000158302,5.53461,1103.54,70.6898
90820,-999,0.000158881,-999,-999,-999
90821,-999,0.000182871,-999,-999,-999
90822,1,0.000175815,-999,-999,80.8237
90823,-999,0.000174995,-999,-999,-999
90824,3,0.000156006,-999,-999,91.4804
90825,-999,0.000160921,-999,-999,-999
90826,0,0.000176911,-999,-999,36.1155
90827,-999,0.000160792,-999,-999,-999
90828,0,0.000180034,4.08321,421.558,65.1781
90829,0,0.000177948,2.97832,469.39,155.021
90830,-999,0.000185378,-999,-999,-999
90831,-999,0.000173034,-999,-999,-999
90832,3,0.000145407,7.33082,2909.51,132.807
90833,-999,0.000167106,-999,-999,-999
90834,-999,0.000156466,-999,-999,-999
90835,3,0.000152363,4.54614,758.553,119.314
90836,-999,0.000172787,-999,-999,-999
90837,-999,0.000185176,-999,-999,-999
90838,-999,0.00016547,-999,-999,-999
90839,2,0.00015827,-999,-999,75.6809
90840,1,0.000180893,4.81433,691.639,74.0751
90841,-999,0.000230747,-999,-999,-999
90842,-999,0.000153376,-999,-999,-999
90843,2,0.000161889,4.54446,561.794,60.3514
90844,-999,0.000169137,-999,-999,-999
90845,-999,0.000175258,-999,-999,-999
90846,-999,0.000161473,-999,-999,-999
90847,-999,0.000155815,-999,-999,-999
90848,1,0.000175475,5.43481,971.11,108.937
90849,1,0.000175478,-999,-999,-999
90850,-999,0.00017487,-999,-999,-999
90851,-999,0.00019204,-999,-999,-999
90852,0,0.000177568,1.57312,96.1196,41.5343
90853,-999,0.000174774,-999,-999,-999
90854,-999,6.02948e-05,-999,-999,-999
90855,-999,0.000179744,-999,-999,-999
90856,2,0.000162213,4.03292,1031.73,190.595
90857,0,0.000175055,4.59437,840.953,140.655
90858,2,0.000157383,-999,-999,74.3406
90859,-999,0.000160681,-999,-999,-999
90860,-999,0.000156978,-999,-999,-999
90861,-999,0.000178841,-999,-999,-999
90862,1,0.000180994,-999,-999,46.606
90863,-999,0.000160619,-999,-999,-999
90864,-999,0.000180161,-999,-999,-999
90865,3,0.000165427,4.40547,601.4,77.6464
90866,-999,0.000169929,-999,-999,-999
90867,-999,0.00015912,-999,-999,-999
90868,-999,0.000184052,-999,-999,-999
90869,3,0.000159826,0.3032,44.565,93.9025
90870,-999,0.000162282,-999,-999,-999
90871,-999,0.000181157,-999,-999,-999
90872,-999,0.000177675,-999,-999,-999
90873,1,0.000177842,4.23505,607.309,119.066
90874,-999,0.000172272,-999,-999,-999
90875,-999,0.000156072,-999,-999,-999
90876,-999,0.000176553,-999,-999,-999
90877,3,0.000159207,-999,-999,70.9904
90878,1,0.000178008,2.36383,497.134,174.003
90879,3,9.27528e-05,-999,-999,87.7725
90880,1,0.000173308,-999,-999,50.2034
90881,0,0.000176622,-999,-999,46.6043
90882,0,0.000176092,5.305,2148.31,184.082
90883,-999,0.000176002,-999,-999,-999
90884,0,0.000176804,3.12469,240.966,50.0161
90885,-999,0.000160902,-999,-999,-999
90886,0,0.00017555,-999,-999,64.1999
90887,-999,0.000174999,-999,-999,-999
90888,1,0.000171332,-999,-999,-999
90889,2,0.000157163,-999,-999,156.687
90890,-999,0.000172315,-999,-999,-999
90891,2,0.000150054,-999,-999,73.9426
90892,-999,0.000176,-999,-999,-999
